fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.4771511238437308,0.5091763942931259,0.4799240318695571,0.528112263323531,0.578462441314554,0.5211267605633803,0
1,0.5200616224053725,0.541303943452381,0.5535807291666667,0.5652711544220979,0.6049359838274933,0.5825471698113207,0
2,0.46412995501230797,0.4984749455337691,0.4680392156862745,0.5240194544411412,0.5805890227576975,0.5132530120481927,0
3,0.4544656948953824,0.5042782738095238,0.4433872767857143,0.5070787048381389,0.5828279424977538,0.4811320754716981,0
4,0.5190476190476191,0.5545751633986928,0.5191503267973856,0.5591362126245847,0.6127519379844961,0.5465116279069767,0
0,0.4887105051810934,0.5247058823529412,0.48709150326797385,0.5413212086243113,0.5988862370723946,0.5274463007159904,1
1,0.5092269716285465,0.548261154855643,0.5059055118110236,0.5393426660787772,0.5973958333333333,0.5231481481481481,1
2,0.5358421106452602,0.5592847769028871,0.5459317585301837,0.58472413003663,0.6256209935897435,0.5817307692307693,1
3,0.5562494694847636,0.5729193899782135,0.5856209150326797,0.5916424781056118,0.6228750640040963,0.6082949308755761,1
4,0.4815000218837535,0.5076171875,0.4893229166666667,0.5399987267634327,0.5828947368421052,0.5382775119617225,1
0,0.4936078678266178,0.5330729166666667,0.5018787202380952,0.5410776413129353,0.6022745098039216,0.5317647058823529,2
1,0.5153240404213166,0.5440661478599221,0.5173059106911246,0.5515714576428862,0.5993849206349207,0.5428571428571428,2
2,0.5256809338521402,0.5549425606818603,0.5424773022049286,0.5608923008455718,0.6099159991099243,0.5654205607476636,2
3,0.4848399530752472,0.5142483660130719,0.4950606909430439,0.5333996983408749,0.5871372549019608,0.5270588235294118,2
4,0.4971214945122018,0.5277777777777778,0.5106355382619975,0.5511387452843369,0.6085378727896543,0.5463182897862233,2
0,0.4845035173160173,0.5198846726190476,0.4870721726190476,0.5323960761460762,0.5943910256410256,0.5192307692307693,3
1,0.4544732612825998,0.4826755604965722,0.4707800629979618,0.516069558180927,0.5659153684675726,0.5150812064965197,3
2,0.4936724950396826,0.5302083333333334,0.49140625,0.5281239642028505,0.5819798917246712,0.5150812064965197,3
3,0.5293822952646482,0.5601587301587301,0.5385947712418301,0.567195501070211,0.6164567451110374,0.5614849187935035,3
4,0.49648505475277127,0.5263732658417698,0.5171259842519684,0.546013282110843,0.6050435540069686,0.5463414634146342,3
0,0.4768043154761905,0.5049153645833333,0.48704427083333335,0.5370939029817535,0.58226246105919,0.5350467289719626,4
1,0.5126338756231179,0.5388271261812118,0.5291828793774319,0.5487629644818411,0.5905836443841195,0.5558194774346793,4
2,0.5262154188224227,0.5602093755790253,0.5382619974059663,0.5561483646994335,0.6199355276552426,0.5510688836104513,4
3,0.5236673292120763,0.546887159533074,0.5430285343709469,0.5636732210226186,0.6085341365461847,0.5662650602409639,4
4,0.47664000496031744,0.5073986235119048,0.48756510416666665,0.5191481969131739,0.5700433399166118,0.5161290322580645,4
